iter	RMSE
0	1.115844315
1	1.079077403
2	1.042253615
3	1.008900805
4	0.9786285294
5	0.9519741631
6	0.928402097
7	0.9045550257
8	0.8818551952
9	0.8594012986
10	0.8422581256
11	0.824261966
12	0.8073453339
13	0.793095366
14	0.7761126279
15	0.7615868568
16	0.7488372803
17	0.7356778262
18	0.7251126682
19	0.7152277558
20	0.705735886
21	0.6965370941
22	0.6882599735
23	0.6812007914
24	0.6749246455
25	0.6690235626
26	0.6628324622
27	0.6569689129
28	0.6504897163
29	0.6452026009
30	0.6408352224
31	0.6368453637
32	0.6323119343
33	0.6288636378
34	0.6255690059
35	0.622508599
36	0.6191032568
37	0.6166039098
38	0.6122491577
39	0.6099429172
40	0.6053614564
41	0.6031812684
42	0.5989499369
43	0.5964561066
44	0.5935350062
45	0.5903713254
46	0.587171682
47	0.5843923305
48	0.5826883434
49	0.5805344707
50	0.5783836952
51	0.5769142488
52	0.5743486395
53	0.5724981278
54	0.5698165629
55	0.5681466793
56	0.5663750193
57	0.5649184113
58	0.5632265571
59	0.561904226
60	0.5607109587
61	0.5598988019
62	0.5580806683
63	0.5562548219
64	0.5547320536
65	0.5536386057
66	0.5529844928
67	0.5521803748
68	0.5511718217
69	0.5502979547
70	0.5495837613
71	0.5481059032
72	0.5465894003
73	0.5457602509
74	0.5446059599
75	0.542792443
76	0.541277204
77	0.5394627031
78	0.5387254924
79	0.5374459097
80	0.5364207226
81	0.5356452239
82	0.5352232536
83	0.5342238003
84	0.5327136474
85	0.531928968
86	0.5307360316
87	0.5295367446
88	0.5286949539
89	0.5280753896
90	0.5271062199
91	0.5266842905
92	0.5261438591
93	0.5251126048
94	0.5242997556
95	0.5231839975
96	0.5222168271
97	0.5214215348
98	0.5206826377
99	0.5197594429
100	0.5184608259
101	0.5177406796
102	0.5170266914
103	0.5162208433
104	0.5155092355
105	0.5150572177
106	0.514448836
107	0.5139616747
108	0.5133928187
109	0.5128671597
110	0.5120794216
111	0.5113368464
112	0.5108693701
113	0.510283589
114	0.5098615992
115	0.5094566683
116	0.5088543156
117	0.5083815675
118	0.5078422716
119	0.5073252764
120	0.5061827507
121	0.5059505021
122	0.5053810141
123	0.5048685272
124	0.5041858567
125	0.5037186926
126	0.5031418332
127	0.502669751
128	0.5022222199
129	0.501618273
130	0.5010648703
131	0.5003768024
132	0.4994949122
133	0.4989266771
134	0.4986307836
135	0.498092829
136	0.497785739
137	0.4972453691
138	0.4966694079
139	0.4961818669
140	0.4955752566
141	0.4951353275
142	0.4947994809
143	0.4944227436
144	0.4939772312
145	0.4935624556
146	0.4931699226
147	0.4928386678
148	0.4920057484
149	0.4915778372
150	0.4912397123
151	0.4907543391
152	0.4903262072
153	0.4897289108
154	0.4891096831
155	0.4886574654
156	0.4881365177
157	0.4872582022
158	0.4870352313
159	0.4864349828
160	0.4860045338
161	0.4855623931
162	0.4852033623
163	0.4848611575
164	0.4843702832
165	0.4839922505
166	0.4833528786
167	0.4824618905
168	0.4819220439
169	0.4816650314
170	0.4813029776
171	0.4808823609
172	0.4805266602
173	0.4800374734
174	0.4797110203
175	0.479473059
176	0.4790179792
177	0.4783953096
178	0.4780367415
179	0.4775642446
180	0.4772068689
181	0.4768836743
182	0.4764456956
183	0.4761367154
184	0.4758265012
185	0.4753742638
186	0.4750057475
187	0.4744913849
188	0.4740651164
189	0.4737143323
190	0.4734907215
191	0.4727642689
192	0.4724048572
193	0.4719870544
194	0.4716723563
195	0.4710950489
196	0.4707127619
197	0.469887777
198	0.4694824233
199	0.4690960869
200	0.468735186
201	0.4683683445
202	0.4676729914
203	0.4669108159
204	0.4665285273
205	0.466080562
206	0.4657765361
207	0.4653424948
208	0.4647441641
209	0.4644370099
210	0.4642095724
211	0.4638907495
212	0.4635200459
213	0.4632060288
214	0.462940743
215	0.4626455747
216	0.4622514682
217	0.4619969794
218	0.4617027451
219	0.4613456983
220	0.4609939906
221	0.4607071236
222	0.4604210599
223	0.4600815393
224	0.4597673943
225	0.4594680025
226	0.458875997
227	0.4585418536
228	0.4582042327
229	0.4579433845
230	0.4576447309
231	0.4568379491
232	0.4562534587
233	0.4559147386
234	0.4556842326
235	0.455374362
236	0.455185602
237	0.4548840248
238	0.4546108817
239	0.4542832506
240	0.4536699968
241	0.4534358728
242	0.4531021689
243	0.4527780115
244	0.4525526122
245	0.4523223793
246	0.4521538853
247	0.4518396291
248	0.4514897834
249	0.4512430366
250	0.4509652131
251	0.4504931782
252	0.4502507416
253	0.4497415236
254	0.4495442631
255	0.4492887812
256	0.4490565496
257	0.4485901141
258	0.4483294191
259	0.4481002201
260	0.4478783173
261	0.447548325
262	0.4473312184
263	0.4467950941
264	0.4464019227
265	0.4460682909
266	0.4458264163
267	0.4455315033
268	0.4452923645
269	0.4450804187
270	0.44479016
271	0.4445614561
272	0.4442505968
273	0.4438899867
274	0.4435114266
275	0.4431957834
276	0.443056796
277	0.4428632007
278	0.4424441398
279	0.4422682884
280	0.4419053781
281	0.4416437061
282	0.441482471
283	0.4412411957
284	0.4409693668
285	0.4407572228
286	0.4402374633
287	0.4399755475
288	0.439728419
289	0.4395332903
290	0.4392638125
291	0.4390397792
292	0.4387105534
293	0.4380772843
294	0.4377716801
295	0.4375824395
296	0.4372311648
297	0.4370172221
298	0.436771517
299	0.4365304138
300	0.4362494663
301	0.4359854428
302	0.4356907275
303	0.4351267113
304	0.4348990488
305	0.4346355179
306	0.4343895981
307	0.434175044
308	0.4339732345
309	0.4335214337
310	0.4331676142
311	0.4329875505
312	0.43280795
313	0.432514145
314	0.4323656248
315	0.4318961846
316	0.4317259324
317	0.4314823319
318	0.4312852757
319	0.4310670237
320	0.4306141336
321	0.4303587123
322	0.4301983334
323	0.429980484
324	0.4296818784
325	0.4293973328
326	0.4291812871
327	0.4289868396
328	0.4285868428
329	0.428320825
330	0.4279932059
331	0.4277479098
332	0.4274630193
333	0.4272115099
334	0.4269566816
335	0.426639207
336	0.4264380075
337	0.4262685027
338	0.4261216828
339	0.4258509049
340	0.4256509767
341	0.4253753977
342	0.4251493462
343	0.4249001154
344	0.4246640519
345	0.4245201537
346	0.4243682683
347	0.4240107338
348	0.4237941386
349	0.4236532481
350	0.4234773135
351	0.4232945531
352	0.4230634452
353	0.4228187558
354	0.4225850807
355	0.4223382119
356	0.4221707328
357	0.4220292557
358	0.4218223292
359	0.4216976941
360	0.4214641395
361	0.4212950156
362	0.4210733636
363	0.4209311242
364	0.4207841547
365	0.4205866345
366	0.4204057896
367	0.4201995533
368	0.4199838899
369	0.4197591486
370	0.4194945854
371	0.4193164189
372	0.419164544
373	0.4190067787
374	0.4188369295
375	0.4186637632
376	0.4184767465
377	0.4183018815
378	0.4181315484
379	0.4179733379
380	0.4177310667
381	0.4172724206
382	0.4171426951
383	0.4170372855
384	0.4168379649
385	0.4167357873
386	0.4165783894
387	0.4163468374
388	0.416142707
389	0.4159739369
390	0.4157179674
391	0.4155956227
392	0.4153626849
393	0.4151374192
394	0.4149853356
395	0.4147925202
396	0.4146171624
397	0.4143633561
398	0.4142420913
399	0.4140952582
400	0.4139522401
401	0.4137590838
402	0.4136206393
403	0.4134719313
404	0.4132575397
405	0.4129581273
406	0.4128112977
407	0.4126836656
408	0.4124924057
409	0.4123310369
410	0.4121727157
411	0.41199553
412	0.4117987162
413	0.4116087131
414	0.4114971608
415	0.4112417463
416	0.4111103245
417	0.4110162335
418	0.4107998489
419	0.4106869423
420	0.4105563733
421	0.4104018871
422	0.4102684744
423	0.4101083102
424	0.4099817377
425	0.4098693416
426	0.4097149276
427	0.4095837443
428	0.4093738551
429	0.4092212701
430	0.4090528401
431	0.4089169677
432	0.4087657566
433	0.4085800114
434	0.4084455125
435	0.4082385976
436	0.4080032024
437	0.4078411145
438	0.4076955079
439	0.4075719507
440	0.4074315578
441	0.4072662554
442	0.4070917567
443	0.4069220063
444	0.4066503984
445	0.4064830842
446	0.4063158049
447	0.406098114
448	0.4059972389
449	0.4058130215
450	0.4056959325
451	0.4055523667
452	0.4054263132
453	0.4053240759
454	0.40497724
455	0.4048282176
456	0.4046070461
457	0.4044701908
458	0.4042674082
459	0.4041590472
460	0.4040600761
461	0.4038918307
462	0.4037904303
463	0.4036467668
464	0.403538365
465	0.4033924381
466	0.4032898876
467	0.4031484654
468	0.4029633391
469	0.4028082828
470	0.4027172818
471	0.4023915469
472	0.4021873731
473	0.4020262764
474	0.4019435542
475	0.4018203658
476	0.4016574162
477	0.401409149
478	0.4012085299
479	0.4009916963
480	0.4008893431
481	0.400661346
482	0.4005983668
483	0.400494186
484	0.400279998
485	0.4001066241
486	0.3999945552
487	0.3999084733
488	0.3997576701
489	0.399669549
490	0.3995097753
491	0.3993544595
492	0.399193253
493	0.3990646425
494	0.3988760708
495	0.3986740431
496	0.3985596618
497	0.3984026768
498	0.3981333173
499	0.3980251688
500	0.3978806631
501	0.3977447129
502	0.3976227175
503	0.3973988037
504	0.3972620854
505	0.3970598205
506	0.3969036654
507	0.3968104768
508	0.3966331928
509	0.3964977504
510	0.3963228371
511	0.3961842522
512	0.3960459976
513	0.3959548586
514	0.3958350822
515	0.3956468122
516	0.3954147817
517	0.3952225264
518	0.3950260026
519	0.3948524595
520	0.3946789957
521	0.3945843951
522	0.3944004272
523	0.3941833591
524	0.3940498407
525	0.3939297902
526	0.3938081972
527	0.3936494924
528	0.3934571437
529	0.3933226749
530	0.3931724647
531	0.3930935616
532	0.3929178516
533	0.3928202819
534	0.3926895131
535	0.3925536492
536	0.3923848657
537	0.3922221857
538	0.3919769997
539	0.3918018189
540	0.3917083607
541	0.3915256159
542	0.3913364736
543	0.3911088703
544	0.3909937903
545	0.390810781
546	0.3907272695
547	0.3906105254
548	0.3904862602
549	0.3903209758
550	0.3902064775
551	0.3900447324
552	0.3898895908
553	0.3897578471
554	0.3896222024
555	0.3894801729
556	0.389331414
557	0.3892143914
558	0.3890607474
559	0.3889336102
560	0.3887643657
561	0.3886214544
562	0.3884535877
563	0.3883199113
