iter	Passed	Remaining
0	141	141212
1	144	72351
2	148	49344
3	152	37914
4	155	31005
5	158	26316
6	161	22944
7	164	20394
8	167	18466
9	170	16916
10	173	15636
11	176	14562
12	179	13663
13	183	12903
14	186	12255
15	189	11680
16	193	11202
17	197	10763
18	201	10384
19	204	10039
20	208	9722
21	212	9456
22	216	9188
23	220	8962
24	223	8726
25	226	8495
26	229	8283
27	233	8109
28	237	7938
29	239	7750
30	242	7572
31	244	7410
32	247	7264
33	251	7158
34	254	7029
35	257	6906
36	260	6789
37	264	6687
38	267	6583
39	269	6474
40	272	6371
41	275	6278
42	277	6183
43	280	6096
44	283	6009
45	285	5925
46	288	5847
47	291	5773
48	293	5700
49	296	5628
50	298	5561
51	301	5498
52	304	5436
53	306	5374
54	309	5315
55	311	5256
56	314	5201
57	317	5150
58	319	5098
59	322	5047
60	324	4999
61	327	4954
62	330	4909
63	332	4868
64	335	4827
65	338	4785
66	340	4745
67	343	4705
68	345	4667
69	348	4632
70	351	4596
71	353	4562
72	356	4527
73	359	4495
74	361	4463
75	364	4433
76	367	4401
77	369	4371
78	372	4340
79	375	4312
80	377	4288
81	380	4264
82	383	4240
83	386	4214
84	389	4197
85	393	4184
86	397	4166
87	400	4153
88	404	4143
89	407	4124
90	411	4106
91	414	4088
92	417	4067
93	419	4046
94	423	4036
95	426	4018
96	429	3997
97	432	3981
98	435	3961
99	438	3949
100	442	3940
101	445	3920
102	447	3899
103	450	3880
104	454	3871
105	457	3855
106	459	3836
107	462	3818
108	464	3799
109	467	3782
110	470	3767
111	473	3750
112	475	3734
113	478	3717
114	480	3701
115	483	3685
116	486	3671
117	489	3656
118	491	3640
119	494	3625
120	497	3612
121	500	3599
122	502	3585
123	505	3570
124	508	3556
125	510	3541
126	513	3528
127	515	3514
128	518	3501
129	521	3488
130	523	3475
131	526	3462
132	529	3450
133	532	3440
134	534	3427
135	537	3415
136	540	3402
137	542	3390
138	545	3378
139	548	3366
140	550	3354
141	553	3341
142	555	3329
143	558	3317
144	560	3307
145	563	3295
146	565	3284
147	568	3272
148	571	3261
149	573	3250
150	577	3244
151	580	3236
152	582	3227
153	585	3218
154	589	3211
155	592	3207
156	596	3201
157	599	3196
158	603	3189
159	606	3185
160	610	3179
161	614	3177
162	617	3170
163	620	3163
164	623	3156
165	626	3147
166	629	3140
167	632	3132
168	635	3124
169	638	3116
170	641	3107
171	643	3099
