iter	Logloss
0	0.6896845714
1	0.6863598095
2	0.6832414762
3	0.6801882381
4	0.6772608095
5	0.6743947143
6	0.6717754762
7	0.6691415714
8	0.6667562857
9	0.6643007143
10	0.6619113333
11	0.6597747143
12	0.6575602857
13	0.6556042381
14	0.6535925238
15	0.6515899524
16	0.6498421429
17	0.6480209524
18	0.6461925714
19	0.6446067619
20	0.6429991429
21	0.6414180952
22	0.639846
23	0.6383591429
24	0.636920381
25	0.635540381
26	0.6341872857
27	0.6328317619
28	0.6315201429
29	0.6302931429
30	0.6291212857
31	0.6279857619
32	0.627041619
33	0.6260761429
34	0.6249189048
35	0.6238674286
36	0.622833
37	0.6220024762
38	0.6210269524
39	0.620245381
40	0.6192795714
41	0.6182679048
42	0.6175337619
43	0.6166527619
44	0.6157622381
45	0.6148521905
46	0.6141430476
47	0.6133354762
48	0.6125942857
49	0.6118425714
50	0.6111071429
51	0.6105034286
52	0.6096931905
53	0.6090167619
54	0.6082380476
55	0.6075158571
56	0.6068750952
57	0.6063175714
58	0.6056442381
59	0.6051045714
60	0.6045116667
61	0.6039891429
62	0.603375381
63	0.6028514286
64	0.6023031905
65	0.601668619
66	0.6010821905
67	0.6005440952
68	0.5999919524
69	0.599537
70	0.5990338571
71	0.5984802857
72	0.5980315238
73	0.5975324762
74	0.5969995238
75	0.5965177143
76	0.5960050476
77	0.5955860476
78	0.5950934762
79	0.5945687143
80	0.5941352857
81	0.5937556667
82	0.5932315238
83	0.5927454762
84	0.5923362857
85	0.5919522381
86	0.5915062857
87	0.5911840952
88	0.5907524762
89	0.5903086667
90	0.5898855238
91	0.5894780952
92	0.5890832857
93	0.5887845714
94	0.588400619
95	0.5880972381
96	0.5877509524
97	0.5874339048
98	0.5870994762
99	0.5867696667
100	0.5863945714
101	0.5860354286
102	0.5857561429
103	0.58546
104	0.5851825714
105	0.5848338571
106	0.5845338571
107	0.5842576667
108	0.583958381
109	0.5836370476
110	0.5833879524
111	0.5831069524
112	0.5828158571
113	0.5824954762
114	0.5821942857
115	0.5819372381
116	0.581662381
