iter	Passed	Remaining
0	376	376072
1	629	314089
2	881	293065
3	1135	282691
4	1389	276586
5	1645	272533
6	1899	269445
7	2157	267485
8	2410	265391
9	2668	264166
10	2921	262660
11	3175	261465
12	3433	260695
13	3688	259746
14	3946	259150
15	4199	258284
16	4452	257463
17	4710	256963
18	4968	256527
19	5222	255918
20	5480	255474
21	5735	254977
22	5992	254543
23	6247	254051
24	6505	253707
25	6759	253235
26	7015	252806
27	7272	252442
28	7529	252107
29	7775	251395
30	8019	250677
31	8265	250024
32	8507	249309
33	8755	248745
34	9012	248497
35	9267	248161
36	9518	247734
37	9765	247222
38	10022	246958
39	10265	246361
40	10522	246122
41	10780	245899
42	11028	245454
43	11290	245305
44	11539	244898
45	11794	244600
46	12039	244111
47	12295	243868
48	12532	243235
49	12778	242796
50	13037	242594
51	13277	242064
52	13521	241599
53	13763	241119
54	14015	240818
55	14274	240623
56	14511	240074
57	14747	239520
58	15003	239296
59	15230	238605
60	15480	238299
61	15700	237537
62	15948	237198
63	16199	236912
64	16451	236641
65	16695	236267
66	16953	236088
67	17191	235624
68	17438	235293
69	17687	234994
70	17923	234519
71	18170	234193
72	18385	233475
73	18642	233284
74	18889	232967
75	19119	232455
76	19376	232264
77	19625	231984
78	19872	231673
79	20121	231394
80	20343	230809
81	20589	230502
82	20848	230332
83	21095	230040
84	21354	229877
85	21578	229330
86	21828	229073
87	22061	228639
88	22308	228348
89	22562	228131
90	22816	227911
91	23074	227734
92	23323	227465
93	23558	227068
94	23807	226797
95	24048	226458
96	24300	226221
97	24549	225959
98	24802	225731
99	25049	225444
100	25312	225304
101	25575	225165
102	25799	224677
103	26048	224416
104	26283	224033
105	26524	223708
106	26771	223428
107	26989	222909
108	27244	222707
109	27488	222407
110	27708	221920
111	27956	221655
112	28217	221492
113	28474	221301
114	28718	221009
115	28955	220657
116	29214	220479
117	29438	220037
118	29687	219785
119	29929	219484
120	30182	219262
121	30435	219033
122	30695	218862
123	30918	218424
124	31174	218219
125	31429	218008
126	31674	217728
127	31914	217415
128	32156	217117
129	32407	216879
130	32643	216546
131	32903	216364
132	33123	215925
133	33365	215628
134	33631	215493
135	33861	215119
136	34114	214896
137	34367	214669
138	34606	214362
139	34854	214106
140	35099	213831
141	35352	213609
142	35593	213312
143	35849	213106
144	36087	212790
145	36342	212581
146	36577	212250
147	36827	212009
148	37084	211804
149	37330	211540
150	37556	211164
151	37808	210932
152	38059	210694
153	38313	210476
154	38554	210182
155	38803	209938
156	39057	209715
157	39313	209507
158	39529	209084
159	39782	208859
160	40035	208634
161	40289	208409
162	40518	208063
163	40756	207756
164	41000	207485
165	41254	207267
166	41506	207035
167	41747	206748
168	41991	206476
169	42238	206222
170	42492	205999
171	42741	205754
172	42966	205395
173	43217	205161
174	43457	204868
175	43706	204627
176	43944	204328
177	44201	204120
178	44421	203742
179	44681	203550
180	44916	203241
181	45144	202903
182	45394	202662
183	45645	202426
184	45898	202199
185	46153	201985
186	46404	201749
187	46639	201443
188	46890	201208
189	47146	200994
190	47408	200801
191	47632	200455
192	47885	200227
193	48101	199842
194	48352	199610
195	48601	199365
196	48852	199129
197	49105	198901
198	49347	198630
199	49606	198427
200	49852	198170
201	50105	197939
202	50339	197638
203	50579	197357
204	50821	197088
205	51063	196815
206	51310	196566
207	51549	196282
208	51764	195914
209	52016	195682
210	52272	195465
211	52517	195205
212	52775	194995
213	53026	194759
214	53242	194398
215	53493	194160
216	53753	193958
217	54001	193710
218	54251	193473
219	54510	193265
220	54761	193028
221	55006	192771
222	55250	192509
223	55494	192250
224	55711	191894
225	55964	191664
226	56214	191424
227	56466	191195
228	56682	190840
229	56938	190618
230	57185	190371
231	57433	190124
232	57683	189884
233	57934	189648
234	58188	189421
235	58427	189146
236	58662	188859
237	58898	188574
238	59150	188341
239	59408	188126
240	59645	187846
241	59860	187496
242	60109	187253
243	60351	186990
244	60612	186786
245	60865	186556
246	61105	186285
247	61355	186046
248	61589	185756
249	61841	185523
250	62095	185296
251	62347	185064
252	62572	184750
253	62825	184519
254	63084	184305
255	63352	184116
256	63599	183868
257	63849	183630
258	64098	183386
259	64341	183125
260	64581	182855
261	64833	182622
262	65065	182332
263	65299	182047
264	65555	181824
265	65802	181575
266	66044	181313
267	66298	181084
268	66548	180844
269	66795	180595
270	67013	180268
271	67261	180023
272	67516	179796
273	67773	179575
274	68019	179324
275	68246	179022
276	68496	178782
277	68744	178536
278	68992	178292
279	69211	177972
280	69459	177727
281	69707	177482
282	69962	177255
283	70216	177025
